Recommendation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema.org - Google Dataset Discovery ,Resource Title,Abstract,Online Resource,Keyword,Author / Originator,Distribution Format,Resource Type,Resource Version,Temporal Extent,Spatial Extent,Resource Citation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR-Common,Metadata Dates,Resource Title,Abstract,Responsibility,Party,Processing Level,Keyword,Spatial Extent,Temporal Extent,Related URL,Platform Short Name,Instrument Short Name,Project Name,Metadata Language,Resource Language,Data Dates,Purpose,Resource Citation,Quality Statement,Resource Use Constraints,Resource Access Constraints,Metadata Association,Publication Information,Topic Category,Ancillary Keyword,Additional Attributes,Media,Resource Format,Transfer Size,Resource Cost or Fees,TwoDCoordinateSystem,Sensor Short Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR-Granule,Data Dates,Resource Identifier,Parent Identifier,Metadata Language,Resource Access Constraints,Additional Attributes - Content Information,Additional Attributes - Descriptive Keywords,Additional Attributes - Geographic Identifier,Additional Attributes - Platform,Additional Attributes - Instrument,Additional Attributes - Quality Information,Browse URL,Browse Format,Browse Description,Browse File Size,Project Name,Cloud Cover,Distribution Format,DayNightFlag,Transfer Size,Input Granule,Instrument Short Name,Instrument Characteristics Name,Instrument Characteristics Value,Instrument Operation Modes,Local Version Identifier,Related URL,Platform Short Name,Platform Orbit Information,Spatial Extent,Temporal Extent,Producer Identifier,Reprocessing Plan Note,Place Keyword,TwoDCoordinateSystem,Quality Statement,Process Step Description,Process Step Time,PGE Name,PGE Version,Platform Characteristics Name,Platform Characteristics Value,Sensor Short Name,Sensor Characteristics Name,Sensor Characteristics Value,,,,,,,,,,,,,,,,
UMM-Variable,Name,LongName,Units,DataType,DimensionsName,Dimensions,ValidRange,Scale,Offset,FillValue,VariableType,Theme Keyword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMM-Collection,Metadata Modified Date,Resource Title,Resource Identifier,Resource Version,Resource Title,Abstract,Resource Creation/Revision Date,Organization Name,Processing Level,Theme Keyword,Resource on-line Link,Spatial Extent,Temporal Extent,Platform,Instrument,Resource Language,Resource Contact,Resource Citation,Resource Status,Quality Statement,Resource Use Constraints,Resource Access Constraints,Media,Distribution Format,Transfer Size,Resource Cost or Fees,Publisher,Topic Category,Keyword,Parent Identifier,Related Resource Citation,Temporal Keyword,TwoDCoordinateSystem,Place Keyword,Resource Language,Grid Dimension Count,Grid Dimension Type Code,Grid Dimension Resolution,Spatial Resolution,Coordinate Reference System (CRS),Purpose,Additional Attributes,Sensor Short Name,,,,,,,,,,,,,,,,,,
UMM-Common,Metadata Modified Date,Future Metadata Review Date,Metadata Deletion Date,Resource Creation/Revision Date,Resource Title,Abstract,Resource Contact,Distribution Contact,Processing Level,Theme Keyword,Spatial Extent,Temporal Extent,Resource on-line Link,Browse URL,Browse File Name,Platform,Instrument,Project Name,Metadata Language,Resource Language,Resource Creation/Revision Date,Purpose,Resource Citation,Quality Statement,Resource Use Constraints,Resource Access Constraints,Topic Category,TwoDCoordinateSystem,Resource on-line Link,Browse URL,Distribution Format,Project Name,Project Keyword,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMM-Granule,Metadata Modified Date,Resource Creation/Revision Date,Metadata Deletion Date,Resource Identifier,Parent Identifier,Resource Access Constraints,Browse Graphic,Browse URL,Browse Format,Browse Description,Browse File Size,Project Name,Distribution Format,Transfer Size,Instrument,Spatial Extent,Temporal Extent,Resource Identifier,Distribution Format,Theme Keyword,Place Keyword,TwoDCoordinateSystem,Quality Statement,Process Step Description,Process Step Time,Sensor Short Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataCite_Discovery,Resource Identifier,Resource Identifier Type,Author / Originator,Author / Originator Identifier,Author / Originator Identifier Type,Resource Title,Publisher,Resource Creation/Revision Date,Keyword,Keyword Vocabulary,Contributor Name,Contributor Role,Responsible Party Identifier Type,Responsible Party Identifier,Resource Creation/Revision Date,Resource Type,Related Resource Identifier,Abstract,Spatial Extent,Resource Language,Resource Identifier,Transfer Size,Resource Format,Resource Version,Rights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataCite4_Discovery,Resource Identifier,Resource Identifier Type,Author / Originator,Resource Title,Publisher,Publication Date,Resource Type,Keyword,Keyword Vocabulary,Contributor Name,Contributor Role,Responsible Party Identifier,Responsible Party Identifier Type,Related Resource Identifier,Originating Organization,Resource Creation/Revision Date,Abstract,Spatial Extent,Resource Language,Resource Identifier,Resource Identifier Type,Transfer Size,Resource Format,Resource Version,Rights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGDC_Understanding,Attribute Accuracy Report,Attribute Accuracy Value,Attribute Accuracy Explanation,Logical Consistency Report,Completeness Report,Horizontal Positional Accuracy Report,Horizontal Positional Accuracy Value,Horizontal Positional Accuracy Explanation,Vertical Positional Accuracy Report,Vertical Positional Accuracy Value,Vertical Positional Accuracy Explanation,Source Citation,Media,Source Time Period,Source Citation Abbreviation,Source Description,Process Step Description,Source Used,Process Step Time,Entity and Attribute Information,Distribution Contact,Distribution Liability,Metadata Profile Citation,Metadata Time Convention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JATS for Reuse Dates,Resource Version,Publication Date,Date Type,Data Dates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
